#,Time,%Passes,Change,Test,Pass,Partial,Fail,Untested
0,Wed Nov 01 02:36:12 EDT 2017,51,51,Assignment4Suite,ContainsTest0+ ContainsTest2+ EmptyTest0+ FindMinMaxTest0+ FindMinMaxTest1+ FindMinMaxTest2+ HeightTest+ InsertTest0+ InsertTest1+ InsertTest2+ InsertTest3+ InsertTest4+ RemoveTest7+ SizeTest0+ SizeTest1+ SizeTest3+ , ,ContainsTest1- EmptyTest1- EmptyTest2- InsertAfterRemoveTest0- InsertAfterRemoveTest1- InsertAfterRemoveTest2- InsertTest5- RemoveTest0- RemoveTest1- RemoveTest2- RemoveTest3- RemoveTest4- RemoveTest5- RemoveTest6- SizeTest2- , 
1,Wed Nov 01 02:36:35 EDT 2017,51,0,SizeTestSuite,ContainsTest0 ContainsTest2 EmptyTest0 FindMinMaxTest0 FindMinMaxTest1 FindMinMaxTest2 HeightTest InsertTest0 InsertTest1 InsertTest2 InsertTest3 InsertTest4 RemoveTest7 SizeTest0 SizeTest1 SizeTest3 , ,ContainsTest1 EmptyTest1 EmptyTest2 InsertAfterRemoveTest0 InsertAfterRemoveTest1 InsertAfterRemoveTest2 InsertTest5 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 RemoveTest4 RemoveTest5 RemoveTest6 SizeTest2 , 
2,Wed Nov 01 02:41:01 EDT 2017,58,7,Assignment4Suite,ContainsTest0 ContainsTest2 EmptyTest0 EmptyTest1+ FindMinMaxTest0 FindMinMaxTest1 FindMinMaxTest2 HeightTest InsertAfterRemoveTest0+ InsertTest0 InsertTest1 InsertTest2 InsertTest3 InsertTest4 RemoveTest7 SizeTest0 SizeTest1 SizeTest3 , ,ContainsTest1 EmptyTest2 InsertAfterRemoveTest1 InsertAfterRemoveTest2 InsertTest5 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 RemoveTest4 RemoveTest5 RemoveTest6 SizeTest2 , 
3,Wed Nov 01 02:41:19 EDT 2017,58,0,Assignment4Suite,ContainsTest0 ContainsTest2 EmptyTest0 EmptyTest1 FindMinMaxTest0 FindMinMaxTest1 FindMinMaxTest2 HeightTest InsertAfterRemoveTest0 InsertTest0 InsertTest1 InsertTest2 InsertTest3 InsertTest4 RemoveTest7 SizeTest0 SizeTest1 SizeTest3 , ,ContainsTest1 EmptyTest2 InsertAfterRemoveTest1 InsertAfterRemoveTest2 InsertTest5 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 RemoveTest4 RemoveTest5 RemoveTest6 SizeTest2 , 
4,Wed Nov 01 02:41:44 EDT 2017,58,0,RemoveTestSuite,ContainsTest0 ContainsTest2 EmptyTest0 EmptyTest1 FindMinMaxTest0 FindMinMaxTest1 FindMinMaxTest2 HeightTest InsertAfterRemoveTest0 InsertTest0 InsertTest1 InsertTest2 InsertTest3 InsertTest4 RemoveTest7 SizeTest0 SizeTest1 SizeTest3 , ,ContainsTest1 EmptyTest2 InsertAfterRemoveTest1 InsertAfterRemoveTest2 InsertTest5 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 RemoveTest4 RemoveTest5 RemoveTest6 SizeTest2 , 
5,Wed Nov 01 02:49:06 EDT 2017,67,9,Assignment4Suite,ContainsTest0 ContainsTest2 EmptyTest0 EmptyTest2+ FindMinMaxTest0 FindMinMaxTest1 FindMinMaxTest2 HeightTest InsertAfterRemoveTest0 InsertTest0 InsertTest1 InsertTest2 InsertTest3 InsertTest4 InsertTest5+ RemoveTest0+ RemoveTest7 SizeTest0 SizeTest1 SizeTest2+ SizeTest3 , ,ContainsTest1 EmptyTest1- InsertAfterRemoveTest1 InsertAfterRemoveTest2 RemoveTest1 RemoveTest2 RemoveTest3 RemoveTest4 RemoveTest5 RemoveTest6 , 
6,Wed Nov 01 02:52:02 EDT 2017,67,0,Assignment4Suite,ContainsTest0 ContainsTest2 EmptyTest0 EmptyTest2 FindMinMaxTest0 FindMinMaxTest1 FindMinMaxTest2 HeightTest InsertAfterRemoveTest0 InsertTest0 InsertTest1 InsertTest2 InsertTest3 InsertTest4 InsertTest5 RemoveTest0 RemoveTest7 SizeTest0 SizeTest1 SizeTest2 SizeTest3 , ,ContainsTest1 EmptyTest1 InsertAfterRemoveTest1 InsertAfterRemoveTest2 RemoveTest1 RemoveTest2 RemoveTest3 RemoveTest4 RemoveTest5 RemoveTest6 , 
7,Wed Nov 01 02:53:39 EDT 2017,67,0,Assignment4Suite,ContainsTest0 ContainsTest2 EmptyTest0 EmptyTest2 FindMinMaxTest0 FindMinMaxTest1 FindMinMaxTest2 HeightTest InsertAfterRemoveTest0 InsertTest0 InsertTest1 InsertTest2 InsertTest3 InsertTest4 InsertTest5 RemoveTest0 RemoveTest7 SizeTest0 SizeTest1 SizeTest2 SizeTest3 , ,ContainsTest1 EmptyTest1 InsertAfterRemoveTest1 InsertAfterRemoveTest2 RemoveTest1 RemoveTest2 RemoveTest3 RemoveTest4 RemoveTest5 RemoveTest6 , 
8,Wed Nov 01 02:55:25 EDT 2017,67,0,Assignment4Suite,ContainsTest0 ContainsTest2 EmptyTest0 EmptyTest2 FindMinMaxTest0 FindMinMaxTest1 FindMinMaxTest2 HeightTest InsertAfterRemoveTest0 InsertTest0 InsertTest1 InsertTest2 InsertTest3 InsertTest4 InsertTest5 RemoveTest0 RemoveTest7 SizeTest0 SizeTest1 SizeTest2 SizeTest3 , ,ContainsTest1 EmptyTest1 InsertAfterRemoveTest1 InsertAfterRemoveTest2 RemoveTest1 RemoveTest2 RemoveTest3 RemoveTest4 RemoveTest5 RemoveTest6 , 
9,Wed Nov 01 03:31:30 EDT 2017,74,7,Assignment4Suite,ContainsTest0 ContainsTest2 EmptyTest0 EmptyTest2 FindMinMaxTest0 FindMinMaxTest1 FindMinMaxTest2 HeightTest InsertAfterRemoveTest1+ InsertAfterRemoveTest2+ InsertTest0 InsertTest1 InsertTest2 InsertTest3 InsertTest4 InsertTest5 RemoveTest0 RemoveTest1+ RemoveTest7 SizeTest0 SizeTest1 SizeTest2 SizeTest3 , ,ContainsTest1 EmptyTest1 InsertAfterRemoveTest0- RemoveTest2 RemoveTest3 RemoveTest4 RemoveTest5 RemoveTest6 , 
